buyer_id,buyer_type,location,lat,lon,req_crop,req_quantity,req_grade,offered_price,trust_score
BUY-IND-01,FMCG Processor,"Kolkata, WB",22.5726,88.3639,Potato,15.0,B,1650.0,94.0
BUY-WHO-02,Wholesaler,"Burdwan, WB",23.2324,87.8615,Potato,10.0,B,1520.0,88.0
BUY-RET-03,Retail Chain,"Siliguri, WB",26.7271,88.3953,Potato,12.5,B,1750.0,75.0
BUY-IND-04,Food Processing Company,"Howrah, WB",22.5958,88.2636,Potato,8.0,B,1600.0,91.0
BUY-WHO-05,Wholesale Market,"Kalyani, WB",22.975,88.4344,Potato,20.0,A,1800.0,86.0
BUY-IND-06,Rice Mill,"Burdwan, WB",23.2324,87.8615,Rice,25.0,A,2950.0,93.0
BUY-RET-07,Retail Chain,"Kolkata, WB",22.5726,88.3639,Rice,15.0,A,2900.0,89.0
BUY-IND-08,Food Processor,"Nadia, WB",23.471,88.5565,Tomato,10.0,B,2350.0,92.0
BUY-WHO-09,Vegetable Wholesaler,"Krishnanagar, WB",23.4058,88.4907,Tomato,6.0,B,2250.0,85.0
BUY-IND-10,Food Processing Unit,"Murshidabad, WB",24.0988,88.2711,Onion,18.0,A,2550.0,95.0
BUY-WHO-11,Wholesale Distributor,"Howrah, WB",22.5958,88.2636,Onion,12.0,A,2480.0,87.0
BUY-RET-12,Retail Chain,"Kolkata, WB",22.5726,88.3639,Carrot,7.0,B,3150.0,90.0
